,Links
709,#CITEREFMcCorduck2004
710,#CITEREFRussellNorvig2021
711,#CITEREFTuring1950
712,#CITEREFRussellNorvig2021
713,#CITEREFRussellNorvig2021
714,#CITEREFMaker2006
715,#CITEREFMcCarthy1999
716,#CITEREFMinsky1986
717,https://cloud.google.com/learn/what-is-artificial-intelligence
718,/wiki/Google_Cloud_Platform
719,https://web.archive.org/web/20230731114802/https://cloud.google.com/learn/what-is-artificial-intelligence
720,#CITEREFNilsson1983
721,#CITEREFHaugeland1985
722,#CITEREFNewellSimon1976
723,#CITEREFMcCorduck2004
724,#CITEREFRussellNorvig2021
725,/wiki/Moravec%27s_paradox
726,#CITEREFMoravec1988
727,#CITEREFMinsky1986
728,#CITEREFPinker2007
729,/wiki/Dreyfus%27_critique_of_AI
730,#CITEREFDreyfus1972
731,#CITEREFDreyfusDreyfus1986
732,#CITEREFCrevier1993
733,#CITEREFMcCorduck2004
734,#CITEREFRussellNorvig2021
735,#CITEREFFearn2007
736,#CITEREFCrevier1993
737,#CITEREFLangley2011
738,#CITEREFKatz2012
739,/wiki/Neats_vs._scruffies
740,#CITEREFMcCorduck2004
741,#CITEREFCrevier1993
742,#CITEREFNilsson1983
743,#CITEREFRussellNorvig2021
744,#CITEREFMinsky1986
745,#CITEREFDomingos2015
746,#CITEREFPennachinGoertzel2007
747,#CITEREFRoberts2016
748,#CITEREFRussellNorvig2021
749,#CITEREFChalmers1995
750,#CITEREFDennett1991
751,#CITEREFHorst2005
752,#CITEREFSearle1999
753,#CITEREFSearle1980
754,#CITEREFRussellNorvig2021
755,/wiki/Chinese_room
756,#CITEREFSearle1980
757,#CITEREFSearle1999
758,#CITEREFRussellNorvig2021
759,#CITEREFMcCorduck2004
760,#CITEREFCrevier1993
761,/wiki/Robot_rights
762,#CITEREFRussellNorvig2021
763,#CITEREFBBC2006
764,#CITEREFMaschafilm2010
765,/wiki/Plug_%26_Pray
766,#CITEREFEvans2015
767,#CITEREFMcCorduck2004
768,#CITEREFHenderson2007
769,/wiki/Intelligence_explosion
770,/wiki/Technological_singularity
771,#CITEREFRussellNorvig2021
772,#CITEREFOmohundro2008
773,#CITEREFKurzweil2005
774,/wiki/I._J._Good
775,#CITEREFGood1965
776,/wiki/Vernor_Vinge
777,#CITEREFVinge1993
778,#CITEREFRussellNorvig2021
779,/wiki/Transhumanism
780,#CITEREFMoravec1988
781,#CITEREFKurzweil2005
782,#CITEREFRussellNorvig2021
783,/wiki/Edward_Fredkin
784,#CITEREFMcCorduck2004
785,#CITEREFButler1863
786,#CITEREFDyson1998
787,#CITEREFMcCorduck2004
788,#CITEREFMcCorduck2004
789,#CITEREFButtazzo2001
790,#CITEREFAnderson2008
791,#CITEREFMcCauley2007
792,#CITEREFGalvan1997
