,Links
343,#CITEREFLugerStubblefield2004
344,/wiki/Adversarial_search
345,#CITEREFRussellNorvig2021
346,/wiki/Local_search_(optimization)
347,/wiki/Mathematical_optimization
348,#CITEREFRussellNorvig2021
349,/wiki/Evolutionary_computation
350,#CITEREFRussellNorvig2021
351,#CITEREFMerkleMiddendorf2013
352,/wiki/Logic
353,#CITEREFRussellNorvig2021
354,#CITEREFLugerStubblefield2004
355,#CITEREFNilsson1998
356,/wiki/Propositional_logic
357,#CITEREFRussellNorvig2021
358,#CITEREFLugerStubblefield2004
359,#CITEREFNilsson1998
360,/wiki/First-order_logic
361,/wiki/Equality_(mathematics)
362,#CITEREFRussellNorvig2021
363,#CITEREFPooleMackworthGoebel1998
364,#CITEREFLugerStubblefield2004
365,#CITEREFNilsson1998
366,/wiki/Logical_inference
367,#CITEREFRussellNorvig2021
368,#CITEREFRussellNorvig2021
369,/wiki/Resolution_(logic)
370,/wiki/Unification_(computer_science)
371,#CITEREFRussellNorvig2021
372,/wiki/Forward_chaining
373,/wiki/Backward_chaining
374,/wiki/Horn_clause
375,#CITEREFRussellNorvig2021
376,#CITEREFPooleMackworthGoebel1998
377,#CITEREFLugerStubblefield2004
378,#CITEREFNilsson1998
379,/wiki/Fuzzy_logic
380,#CITEREFRussellNorvig2021
381,#CITEREFScientific_American1999
382,#CITEREFRussellNorvig2021
383,#CITEREFPooleMackworthGoebel1998
384,#CITEREFLugerStubblefield2004
385,#CITEREFNilsson1998
386,/wiki/Bayesian_network
387,#CITEREFRussellNorvig2021
388,#CITEREFPooleMackworthGoebel1998
389,#CITEREFLugerStubblefield2004
390,#CITEREFNilsson1998
391,#CITEREFDomingos2015
392,/wiki/Bayesian_inference
393,#CITEREFRussellNorvig2021
394,#CITEREFPooleMackworthGoebel1998
395,#CITEREFLugerStubblefield2004
396,#CITEREFNilsson1998
397,#CITEREFDomingos2015
398,/wiki/Bayesian_learning
399,/wiki/Expectation-maximization_algorithm
400,#CITEREFRussellNorvig2021
401,#CITEREFPooleMackworthGoebel1998
402,#CITEREFNilsson1998
403,#CITEREFDomingos2015
404,/wiki/Bayesian_decision_theory
405,/wiki/Decision_network
406,#CITEREFRussellNorvig2021
407,#CITEREFRussellNorvig2021
408,/wiki/Hidden_Markov_model
409,#CITEREFRussellNorvig2021
410,/wiki/Kalman_filter
411,#CITEREFRussellNorvig2021
412,/wiki/Dynamic_Bayesian_network
413,#CITEREFRussellNorvig2021
414,/wiki/Decision_theory
415,/wiki/Decision_analysis
416,#CITEREFRussellNorvig2021
417,#CITEREFPooleMackworthGoebel1998
418,/wiki/Information_value_theory
419,#CITEREFRussellNorvig2021
420,/wiki/Markov_decision_process
421,/wiki/Decision_network
422,#CITEREFRussellNorvig2021
423,/wiki/Game_theory
424,/wiki/Mechanism_design
425,#CITEREFRussellNorvig2021
426,/wiki/Classifier_(mathematics)
427,#CITEREFRussellNorvig2021
428,/wiki/Alternating_decision_tree
429,#CITEREFRussellNorvig2021
430,#CITEREFDomingos2015
431,/wiki/Nonparametric_statistics
432,/wiki/K-nearest_neighbor
433,/wiki/Support_vector_machines
434,#CITEREFRussellNorvig2021
435,#CITEREFDomingos2015
436,#CITEREFDomingos2015
437,#CITEREFDomingos2015
438,/wiki/Naive_Bayes_classifier
439,#CITEREFRussellNorvig2021
440,#CITEREFDomingos2015
441,#CITEREFRussellNorvig2021
442,#CITEREFDomingos2015
443,#CITEREFRussellNorvig2021
444,/wiki/Backpropagation
445,/wiki/Automatic_differentiation
446,#CITEREFRussellNorvig2021
447,#CITEREFLugerStubblefield2004
448,#CITEREFNilsson1998
449,/wiki/Universal_approximation_theorem
450,#CITEREFRussellNorvig2021
451,#CITEREFCybenko1988
452,#CITEREFHornikStinchcombeWhite1989
453,/wiki/Feedforward_neural_network
454,#CITEREFRussellNorvig2021
455,/wiki/Recurrent_neural_network
456,#CITEREFRussellNorvig2021
457,/wiki/Perceptron
458,#CITEREFRussellNorvig2021
459,/wiki/Deep_learning
460,#CITEREFRussellNorvig2021
461,#CITEREFGoodfellowBengioCourville2016
462,#CITEREFHinton_et_al.2016
463,#CITEREFSchmidhuber2015
464,/wiki/Convolutional_neural_networks
465,#CITEREFRussellNorvig2021
466,#CITEREFSchulzBehnke2012
467,#CITEREFDengYu2014
468,#CITEREFCiresanMeierSchmidhuber2012
469,#CITEREFRussellNorvig2021
470,#CITEREFRussellNorvig2021
471,#CITEREFSchmidhuber2022
472,#CITEREFSchmidhuber2022
473,#CITEREFSchmidhuber2022
474,#CITEREFSchmidhuber2022
475,#CITEREFSchmidhuber2022
476,#CITEREFSchmidhuber2022
477,#CITEREFChristian2020
478,#CITEREFKobielus2019
479,#CITEREFEconomist2016
480,#CITEREFLohr2016
481,#CITEREFLohr2016
482,#CITEREFSmith2016
483,#CITEREFRowinski2013
484,#CITEREFMIT_Sloan_Management_Review2018
485,#CITEREFLorica2017
486,#CITEREFFrangoul2019
487,#CITEREFAletras_et_al.2016
488,#CITEREFChen2023
489,#CITEREFMcCorduck2004
490,#CITEREFMarkoff2011
491,#CITEREFGoogle2016
492,#CITEREFBBC2016
493,http://www.goratings.org/
494,http://sports.sina.com.cn/go/2016-08-02/doc-ifxunyya3020238.shtml
495,http://sports.qq.com/a/20170407/044794.htm
496,#CITEREFSolly2019
497,#CITEREFBowlingBurchJohansonTammelin2015
498,#CITEREFSample2017a
499,#CITEREFVogels2023
500,https://www.washingtonpost.com/business/interactive/2023/artificial-intelligence-tech-rapid-advances/
501,https://web.archive.org/web/20230529164520/https://www.washingtonpost.com/business/interactive/2023/artificial-intelligence-tech-rapid-advances/
502,https://reutersinstitute.politics.ox.ac.uk/news/will-ai-generated-images-create-new-crisis-fact-checkers-experts-are-not-so-sure
